startDateTime,endDateTime,groundwaterSpecCond,groundwaterSpecCondExpUncert,gWatSCondFinalQF
"2018-12-01T00:00:00Z","2018-12-01T00:05:00Z",660.41,0.63,
"2018-12-01T00:05:00Z","2018-12-01T00:10:00Z",660.49,0.63,
"2018-12-01T00:10:00Z","2018-12-01T00:15:00Z",660.52,0.63,
"2018-12-01T00:15:00Z","2018-12-01T00:20:00Z",660.46,0.63,
"2018-12-01T00:20:00Z","2018-12-01T00:25:00Z",660.56,0.63,
"2018-12-01T00:25:00Z","2018-12-01T00:30:00Z",660.51,0.63,
"2018-12-01T00:30:00Z","2018-12-01T00:35:00Z",660.45,0.63,
"2018-12-01T00:35:00Z","2018-12-01T00:40:00Z",660.49,0.63,
"2018-12-01T00:40:00Z","2018-12-01T00:45:00Z",660.48,0.63,
"2018-12-01T00:45:00Z","2018-12-01T00:50:00Z",660.48,0.63,
"2018-12-01T00:50:00Z","2018-12-01T00:55:00Z",660.54,0.63,
"2018-12-01T00:55:00Z","2018-12-01T01:00:00Z",660.48,0.63,
"2018-12-01T01:00:00Z","2018-12-01T01:05:00Z",660.52,0.63,
"2018-12-01T01:05:00Z","2018-12-01T01:10:00Z",660.55,0.63,
"2018-12-01T01:10:00Z","2018-12-01T01:15:00Z",660.54,0.63,
"2018-12-01T01:15:00Z","2018-12-01T01:20:00Z",660.54,0.63,
"2018-12-01T01:20:00Z","2018-12-01T01:25:00Z",660.61,0.63,
"2018-12-01T01:25:00Z","2018-12-01T01:30:00Z",660.51,0.63,
"2018-12-01T01:30:00Z","2018-12-01T01:35:00Z",660.60,0.63,
"2018-12-01T01:35:00Z","2018-12-01T01:40:00Z",660.60,0.63,
"2018-12-01T01:40:00Z","2018-12-01T01:45:00Z",660.49,0.63,
"2018-12-01T01:45:00Z","2018-12-01T01:50:00Z",660.52,0.63,
"2018-12-01T01:50:00Z","2018-12-01T01:55:00Z",660.53,0.63,
"2018-12-01T01:55:00Z","2018-12-01T02:00:00Z",660.55,0.63,
"2018-12-01T02:00:00Z","2018-12-01T02:05:00Z",660.47,0.63,
"2018-12-01T02:05:00Z","2018-12-01T02:10:00Z",660.59,0.63,
"2018-12-01T02:10:00Z","2018-12-01T02:15:00Z",660.62,0.63,
"2018-12-01T02:15:00Z","2018-12-01T02:20:00Z",660.62,0.63,
"2018-12-01T02:20:00Z","2018-12-01T02:25:00Z",660.54,0.63,
"2018-12-01T02:25:00Z","2018-12-01T02:30:00Z",660.49,0.63,
"2018-12-01T02:30:00Z","2018-12-01T02:35:00Z",660.55,0.63,
"2018-12-01T02:35:00Z","2018-12-01T02:40:00Z",660.66,0.63,
"2018-12-01T02:40:00Z","2018-12-01T02:45:00Z",660.60,0.63,
"2018-12-01T02:45:00Z","2018-12-01T02:50:00Z",660.57,0.63,
"2018-12-01T02:50:00Z","2018-12-01T02:55:00Z",660.58,0.63,
"2018-12-01T02:55:00Z","2018-12-01T03:00:00Z",660.63,0.63,
"2018-12-01T03:00:00Z","2018-12-01T03:05:00Z",660.68,0.63,
"2018-12-01T03:05:00Z","2018-12-01T03:10:00Z",660.59,0.63,
"2018-12-01T03:10:00Z","2018-12-01T03:15:00Z",660.66,0.63,
"2018-12-01T03:15:00Z","2018-12-01T03:20:00Z",660.69,0.63,
"2018-12-01T03:20:00Z","2018-12-01T03:25:00Z",660.75,0.63,
"2018-12-01T03:25:00Z","2018-12-01T03:30:00Z",660.72,0.63,
"2018-12-01T03:30:00Z","2018-12-01T03:35:00Z",660.71,0.63,
"2018-12-01T03:35:00Z","2018-12-01T03:40:00Z",660.75,0.63,
"2018-12-01T03:40:00Z","2018-12-01T03:45:00Z",660.66,0.63,
"2018-12-01T03:45:00Z","2018-12-01T03:50:00Z",660.63,0.63,
"2018-12-01T03:50:00Z","2018-12-01T03:55:00Z",660.62,0.63,
"2018-12-01T03:55:00Z","2018-12-01T04:00:00Z",660.69,0.63,
"2018-12-01T04:00:00Z","2018-12-01T04:05:00Z",660.71,0.63,
"2018-12-01T04:05:00Z","2018-12-01T04:10:00Z",660.66,0.63,
"2018-12-01T04:10:00Z","2018-12-01T04:15:00Z",660.75,0.63,
"2018-12-01T04:15:00Z","2018-12-01T04:20:00Z",660.69,0.63,
"2018-12-01T04:20:00Z","2018-12-01T04:25:00Z",660.72,0.63,
"2018-12-01T04:25:00Z","2018-12-01T04:30:00Z",660.74,0.63,
"2018-12-01T04:30:00Z","2018-12-01T04:35:00Z",660.68,0.63,
"2018-12-01T04:35:00Z","2018-12-01T04:40:00Z",660.65,0.63,
"2018-12-01T04:40:00Z","2018-12-01T04:45:00Z",660.70,0.63,
"2018-12-01T04:45:00Z","2018-12-01T04:50:00Z",660.65,0.63,
"2018-12-01T04:50:00Z","2018-12-01T04:55:00Z",660.57,0.63,
"2018-12-01T04:55:00Z","2018-12-01T05:00:00Z",660.60,0.63,
"2018-12-01T05:00:00Z","2018-12-01T05:05:00Z",660.63,0.63,
"2018-12-01T05:05:00Z","2018-12-01T05:10:00Z",660.74,0.63,
"2018-12-01T05:10:00Z","2018-12-01T05:15:00Z",660.68,0.63,
"2018-12-01T05:15:00Z","2018-12-01T05:20:00Z",660.76,0.63,
"2018-12-01T05:20:00Z","2018-12-01T05:25:00Z",660.85,0.63,
"2018-12-01T05:25:00Z","2018-12-01T05:30:00Z",660.70,0.63,
"2018-12-01T05:30:00Z","2018-12-01T05:35:00Z",660.71,0.63,
"2018-12-01T05:35:00Z","2018-12-01T05:40:00Z",660.73,0.63,
"2018-12-01T05:40:00Z","2018-12-01T05:45:00Z",660.70,0.63,
"2018-12-01T05:45:00Z","2018-12-01T05:50:00Z",660.80,0.63,
"2018-12-01T05:50:00Z","2018-12-01T05:55:00Z",660.70,0.63,
"2018-12-01T05:55:00Z","2018-12-01T06:00:00Z",660.70,0.63,
"2018-12-01T06:00:00Z","2018-12-01T06:05:00Z",660.84,0.63,
"2018-12-01T06:05:00Z","2018-12-01T06:10:00Z",660.76,0.63,
"2018-12-01T06:10:00Z","2018-12-01T06:15:00Z",660.63,0.63,
"2018-12-01T06:15:00Z","2018-12-01T06:20:00Z",660.67,0.63,
"2018-12-01T06:20:00Z","2018-12-01T06:25:00Z",660.76,0.63,
"2018-12-01T06:25:00Z","2018-12-01T06:30:00Z",660.78,0.63,
"2018-12-01T06:30:00Z","2018-12-01T06:35:00Z",660.81,0.63,
"2018-12-01T06:35:00Z","2018-12-01T06:40:00Z",660.75,0.63,
"2018-12-01T06:40:00Z","2018-12-01T06:45:00Z",660.68,0.63,
"2018-12-01T06:45:00Z","2018-12-01T06:50:00Z",660.76,0.63,
"2018-12-01T06:50:00Z","2018-12-01T06:55:00Z",660.73,0.63,
"2018-12-01T06:55:00Z","2018-12-01T07:00:00Z",660.73,0.63,
"2018-12-01T07:00:00Z","2018-12-01T07:05:00Z",660.84,0.63,
"2018-12-01T07:05:00Z","2018-12-01T07:10:00Z",660.73,0.63,
"2018-12-01T07:10:00Z","2018-12-01T07:15:00Z",660.78,0.63,
"2018-12-01T07:15:00Z","2018-12-01T07:20:00Z",660.84,0.63,
"2018-12-01T07:20:00Z","2018-12-01T07:25:00Z",660.71,0.63,
"2018-12-01T07:25:00Z","2018-12-01T07:30:00Z",660.79,0.63,
"2018-12-01T07:30:00Z","2018-12-01T07:35:00Z",660.67,0.63,
"2018-12-01T07:35:00Z","2018-12-01T07:40:00Z",660.79,0.63,
"2018-12-01T07:40:00Z","2018-12-01T07:45:00Z",660.78,0.63,
"2018-12-01T07:45:00Z","2018-12-01T07:50:00Z",660.77,0.63,
"2018-12-01T07:50:00Z","2018-12-01T07:55:00Z",660.76,0.63,
"2018-12-01T07:55:00Z","2018-12-01T08:00:00Z",660.71,0.63,
"2018-12-01T08:00:00Z","2018-12-01T08:05:00Z",660.80,0.63,
"2018-12-01T08:05:00Z","2018-12-01T08:10:00Z",660.86,0.63,
"2018-12-01T08:10:00Z","2018-12-01T08:15:00Z",660.84,0.63,
"2018-12-01T08:15:00Z","2018-12-01T08:20:00Z",660.82,0.63,
"2018-12-01T08:20:00Z","2018-12-01T08:25:00Z",660.68,0.63,
"2018-12-01T08:25:00Z","2018-12-01T08:30:00Z",660.80,0.63,
"2018-12-01T08:30:00Z","2018-12-01T08:35:00Z",660.95,0.63,
"2018-12-01T08:35:00Z","2018-12-01T08:40:00Z",660.76,0.63,
"2018-12-01T08:40:00Z","2018-12-01T08:45:00Z",660.79,0.63,
"2018-12-01T08:45:00Z","2018-12-01T08:50:00Z",660.94,0.63,
"2018-12-01T08:50:00Z","2018-12-01T08:55:00Z",660.83,0.63,
"2018-12-01T08:55:00Z","2018-12-01T09:00:00Z",660.74,0.63,
"2018-12-01T09:00:00Z","2018-12-01T09:05:00Z",660.78,0.63,
"2018-12-01T09:05:00Z","2018-12-01T09:10:00Z",660.72,0.63,
"2018-12-01T09:10:00Z","2018-12-01T09:15:00Z",660.87,0.63,
"2018-12-01T09:15:00Z","2018-12-01T09:20:00Z",660.75,0.63,
"2018-12-01T09:20:00Z","2018-12-01T09:25:00Z",660.92,0.63,
"2018-12-01T09:25:00Z","2018-12-01T09:30:00Z",660.86,0.63,
"2018-12-01T09:30:00Z","2018-12-01T09:35:00Z",660.86,0.63,
"2018-12-01T09:35:00Z","2018-12-01T09:40:00Z",660.82,0.63,
"2018-12-01T09:40:00Z","2018-12-01T09:45:00Z",660.92,0.63,
"2018-12-01T09:45:00Z","2018-12-01T09:50:00Z",660.93,0.63,
"2018-12-01T09:50:00Z","2018-12-01T09:55:00Z",660.88,0.63,
"2018-12-01T09:55:00Z","2018-12-01T10:00:00Z",660.99,0.63,
"2018-12-01T10:00:00Z","2018-12-01T10:05:00Z",660.89,0.63,
"2018-12-01T10:05:00Z","2018-12-01T10:10:00Z",660.91,0.63,
"2018-12-01T10:10:00Z","2018-12-01T10:15:00Z",660.86,0.63,
"2018-12-01T10:15:00Z","2018-12-01T10:20:00Z",660.81,0.63,
"2018-12-01T10:20:00Z","2018-12-01T10:25:00Z",660.89,0.63,
"2018-12-01T10:25:00Z","2018-12-01T10:30:00Z",660.99,0.63,
"2018-12-01T10:30:00Z","2018-12-01T10:35:00Z",661.00,0.63,
"2018-12-01T10:35:00Z","2018-12-01T10:40:00Z",660.89,0.63,
"2018-12-01T10:40:00Z","2018-12-01T10:45:00Z",660.92,0.63,
"2018-12-01T10:45:00Z","2018-12-01T10:50:00Z",660.95,0.63,
"2018-12-01T10:50:00Z","2018-12-01T10:55:00Z",660.91,0.63,
"2018-12-01T10:55:00Z","2018-12-01T11:00:00Z",661.00,0.63,
"2018-12-01T11:00:00Z","2018-12-01T11:05:00Z",660.89,0.63,
"2018-12-01T11:05:00Z","2018-12-01T11:10:00Z",660.94,0.63,
"2018-12-01T11:10:00Z","2018-12-01T11:15:00Z",660.94,0.63,
"2018-12-01T11:15:00Z","2018-12-01T11:20:00Z",661.01,0.63,
"2018-12-01T11:20:00Z","2018-12-01T11:25:00Z",660.90,0.63,
"2018-12-01T11:25:00Z","2018-12-01T11:30:00Z",660.95,0.63,
"2018-12-01T11:30:00Z","2018-12-01T11:35:00Z",660.83,0.63,
"2018-12-01T11:35:00Z","2018-12-01T11:40:00Z",660.83,0.63,
"2018-12-01T11:40:00Z","2018-12-01T11:45:00Z",660.90,0.63,
"2018-12-01T11:45:00Z","2018-12-01T11:50:00Z",660.84,0.63,
"2018-12-01T11:50:00Z","2018-12-01T11:55:00Z",661.00,0.63,
"2018-12-01T11:55:00Z","2018-12-01T12:00:00Z",660.94,0.63,
"2018-12-01T12:00:00Z","2018-12-01T12:05:00Z",661.01,0.63,
"2018-12-01T12:05:00Z","2018-12-01T12:10:00Z",661.01,0.63,
"2018-12-01T12:10:00Z","2018-12-01T12:15:00Z",660.99,0.63,
"2018-12-01T12:15:00Z","2018-12-01T12:20:00Z",660.94,0.63,
"2018-12-01T12:20:00Z","2018-12-01T12:25:00Z",661.01,0.63,
"2018-12-01T12:25:00Z","2018-12-01T12:30:00Z",661.01,0.63,
"2018-12-01T12:30:00Z","2018-12-01T12:35:00Z",661.06,0.63,
"2018-12-01T12:35:00Z","2018-12-01T12:40:00Z",660.97,0.63,
"2018-12-01T12:40:00Z","2018-12-01T12:45:00Z",661.08,0.63,
"2018-12-01T12:45:00Z","2018-12-01T12:50:00Z",661.03,0.63,
"2018-12-01T12:50:00Z","2018-12-01T12:55:00Z",660.94,0.63,
"2018-12-01T12:55:00Z","2018-12-01T13:00:00Z",660.92,0.63,
"2018-12-01T13:00:00Z","2018-12-01T13:05:00Z",660.83,0.63,
"2018-12-01T13:05:00Z","2018-12-01T13:10:00Z",660.97,0.63,
"2018-12-01T13:10:00Z","2018-12-01T13:15:00Z",660.90,0.63,
"2018-12-01T13:15:00Z","2018-12-01T13:20:00Z",660.92,0.63,
"2018-12-01T13:20:00Z","2018-12-01T13:25:00Z",661.00,0.63,
"2018-12-01T13:25:00Z","2018-12-01T13:30:00Z",660.96,0.63,
"2018-12-01T13:30:00Z","2018-12-01T13:35:00Z",660.86,0.63,
"2018-12-01T13:35:00Z","2018-12-01T13:40:00Z",660.96,0.63,
"2018-12-01T13:40:00Z","2018-12-01T13:45:00Z",660.94,0.63,
"2018-12-01T13:45:00Z","2018-12-01T13:50:00Z",661.02,0.63,
"2018-12-01T13:50:00Z","2018-12-01T13:55:00Z",661.00,0.63,
"2018-12-01T13:55:00Z","2018-12-01T14:00:00Z",660.94,0.63,
"2018-12-01T14:00:00Z","2018-12-01T14:05:00Z",660.98,0.63,
"2018-12-01T14:05:00Z","2018-12-01T14:10:00Z",661.03,0.63,
"2018-12-01T14:10:00Z","2018-12-01T14:15:00Z",661.07,0.63,
"2018-12-01T14:15:00Z","2018-12-01T14:20:00Z",661.01,0.63,
"2018-12-01T14:20:00Z","2018-12-01T14:25:00Z",661.02,0.63,
"2018-12-01T14:25:00Z","2018-12-01T14:30:00Z",661.04,0.63,
"2018-12-01T14:30:00Z","2018-12-01T14:35:00Z",661.17,0.63,
"2018-12-01T14:35:00Z","2018-12-01T14:40:00Z",661.18,0.63,
"2018-12-01T14:40:00Z","2018-12-01T14:45:00Z",661.07,0.63,
"2018-12-01T14:45:00Z","2018-12-01T14:50:00Z",661.04,0.63,
"2018-12-01T14:50:00Z","2018-12-01T14:55:00Z",660.97,0.63,
"2018-12-01T14:55:00Z","2018-12-01T15:00:00Z",661.10,0.63,
"2018-12-01T15:00:00Z","2018-12-01T15:05:00Z",661.15,0.63,
"2018-12-01T15:05:00Z","2018-12-01T15:10:00Z",661.15,0.63,
"2018-12-01T15:10:00Z","2018-12-01T15:15:00Z",661.06,0.63,
"2018-12-01T15:15:00Z","2018-12-01T15:20:00Z",661.08,0.63,
"2018-12-01T15:20:00Z","2018-12-01T15:25:00Z",661.16,0.63,
"2018-12-01T15:25:00Z","2018-12-01T15:30:00Z",661.21,0.63,
"2018-12-01T15:30:00Z","2018-12-01T15:35:00Z",661.12,0.63,
"2018-12-01T15:35:00Z","2018-12-01T15:40:00Z",661.04,0.63,
"2018-12-01T15:40:00Z","2018-12-01T15:45:00Z",661.10,0.63,
"2018-12-01T15:45:00Z","2018-12-01T15:50:00Z",661.09,0.63,
"2018-12-01T15:50:00Z","2018-12-01T15:55:00Z",661.10,0.63,
"2018-12-01T15:55:00Z","2018-12-01T16:00:00Z",661.20,0.63,
"2018-12-01T16:00:00Z","2018-12-01T16:05:00Z",661.11,0.63,
"2018-12-01T16:05:00Z","2018-12-01T16:10:00Z",661.08,0.63,
"2018-12-01T16:10:00Z","2018-12-01T16:15:00Z",661.14,0.63,
"2018-12-01T16:15:00Z","2018-12-01T16:20:00Z",661.18,0.63,
"2018-12-01T16:20:00Z","2018-12-01T16:25:00Z",661.03,0.63,
"2018-12-01T16:25:00Z","2018-12-01T16:30:00Z",661.07,0.63,
"2018-12-01T16:30:00Z","2018-12-01T16:35:00Z",661.08,0.63,
"2018-12-01T16:35:00Z","2018-12-01T16:40:00Z",661.06,0.63,
"2018-12-01T16:40:00Z","2018-12-01T16:45:00Z",661.15,0.63,
"2018-12-01T16:45:00Z","2018-12-01T16:50:00Z",661.15,0.63,
"2018-12-01T16:50:00Z","2018-12-01T16:55:00Z",661.15,0.63,
"2018-12-01T16:55:00Z","2018-12-01T17:00:00Z",661.15,0.63,
"2018-12-01T17:00:00Z","2018-12-01T17:05:00Z",661.19,0.63,
"2018-12-01T17:05:00Z","2018-12-01T17:10:00Z",661.25,0.63,
"2018-12-01T17:10:00Z","2018-12-01T17:15:00Z",661.17,0.63,
"2018-12-01T17:15:00Z","2018-12-01T17:20:00Z",661.12,0.63,
"2018-12-01T17:20:00Z","2018-12-01T17:25:00Z",661.19,0.63,
"2018-12-01T17:25:00Z","2018-12-01T17:30:00Z",661.15,0.63,
"2018-12-01T17:30:00Z","2018-12-01T17:35:00Z",661.20,0.63,
"2018-12-01T17:35:00Z","2018-12-01T17:40:00Z",661.24,0.63,
"2018-12-01T17:40:00Z","2018-12-01T17:45:00Z",661.20,0.63,
"2018-12-01T17:45:00Z","2018-12-01T17:50:00Z",661.24,0.63,
"2018-12-01T17:50:00Z","2018-12-01T17:55:00Z",661.14,0.63,
"2018-12-01T17:55:00Z","2018-12-01T18:00:00Z",661.14,0.63,
"2018-12-01T18:00:00Z","2018-12-01T18:05:00Z",661.25,0.63,
"2018-12-01T18:05:00Z","2018-12-01T18:10:00Z",661.29,0.63,
"2018-12-01T18:10:00Z","2018-12-01T18:15:00Z",661.24,0.63,
"2018-12-01T18:15:00Z","2018-12-01T18:20:00Z",661.19,0.63,
"2018-12-01T18:20:00Z","2018-12-01T18:25:00Z",661.27,0.63,
"2018-12-01T18:25:00Z","2018-12-01T18:30:00Z",661.21,0.63,
"2018-12-01T18:30:00Z","2018-12-01T18:35:00Z",661.18,0.63,
"2018-12-01T18:35:00Z","2018-12-01T18:40:00Z",661.29,0.63,
"2018-12-01T18:40:00Z","2018-12-01T18:45:00Z",661.27,0.63,
"2018-12-01T18:45:00Z","2018-12-01T18:50:00Z",661.20,0.63,
"2018-12-01T18:50:00Z","2018-12-01T18:55:00Z",661.24,0.63,
"2018-12-01T18:55:00Z","2018-12-01T19:00:00Z",661.32,0.63,
"2018-12-01T19:00:00Z","2018-12-01T19:05:00Z",661.33,0.63,
"2018-12-01T19:05:00Z","2018-12-01T19:10:00Z",661.26,0.63,
"2018-12-01T19:10:00Z","2018-12-01T19:15:00Z",661.23,0.63,
"2018-12-01T19:15:00Z","2018-12-01T19:20:00Z",661.26,0.63,
"2018-12-01T19:20:00Z","2018-12-01T19:25:00Z",661.24,0.63,
"2018-12-01T19:25:00Z","2018-12-01T19:30:00Z",661.35,0.63,
"2018-12-01T19:30:00Z","2018-12-01T19:35:00Z",661.34,0.63,
"2018-12-01T19:35:00Z","2018-12-01T19:40:00Z",661.22,0.63,
"2018-12-01T19:40:00Z","2018-12-01T19:45:00Z",661.33,0.63,
"2018-12-01T19:45:00Z","2018-12-01T19:50:00Z",661.30,0.63,
"2018-12-01T19:50:00Z","2018-12-01T19:55:00Z",661.21,0.63,
"2018-12-01T19:55:00Z","2018-12-01T20:00:00Z",661.39,0.63,
"2018-12-01T20:00:00Z","2018-12-01T20:05:00Z",661.33,0.63,
"2018-12-01T20:05:00Z","2018-12-01T20:10:00Z",661.24,0.63,
"2018-12-01T20:10:00Z","2018-12-01T20:15:00Z",661.32,0.63,
"2018-12-01T20:15:00Z","2018-12-01T20:20:00Z",661.41,0.63,
"2018-12-01T20:20:00Z","2018-12-01T20:25:00Z",661.46,0.63,
"2018-12-01T20:25:00Z","2018-12-01T20:30:00Z",661.40,0.63,
"2018-12-01T20:30:00Z","2018-12-01T20:35:00Z",661.33,0.63,
"2018-12-01T20:35:00Z","2018-12-01T20:40:00Z",661.37,0.63,
"2018-12-01T20:40:00Z","2018-12-01T20:45:00Z",661.37,0.63,
"2018-12-01T20:45:00Z","2018-12-01T20:50:00Z",661.42,0.63,
"2018-12-01T20:50:00Z","2018-12-01T20:55:00Z",661.34,0.63,
"2018-12-01T20:55:00Z","2018-12-01T21:00:00Z",661.36,0.63,
"2018-12-01T21:00:00Z","2018-12-01T21:05:00Z",661.31,0.63,
"2018-12-01T21:05:00Z","2018-12-01T21:10:00Z",661.40,0.63,
"2018-12-01T21:10:00Z","2018-12-01T21:15:00Z",661.31,0.63,
"2018-12-01T21:15:00Z","2018-12-01T21:20:00Z",661.39,0.63,
"2018-12-01T21:20:00Z","2018-12-01T21:25:00Z",661.52,0.63,
"2018-12-01T21:25:00Z","2018-12-01T21:30:00Z",661.46,0.63,
"2018-12-01T21:30:00Z","2018-12-01T21:35:00Z",661.49,0.63,
"2018-12-01T21:35:00Z","2018-12-01T21:40:00Z",661.51,0.63,
"2018-12-01T21:40:00Z","2018-12-01T21:45:00Z",661.40,0.63,
"2018-12-01T21:45:00Z","2018-12-01T21:50:00Z",661.47,0.63,
"2018-12-01T21:50:00Z","2018-12-01T21:55:00Z",661.41,0.63,
"2018-12-01T21:55:00Z","2018-12-01T22:00:00Z",661.43,0.63,
"2018-12-01T22:00:00Z","2018-12-01T22:05:00Z",661.52,0.63,
"2018-12-01T22:05:00Z","2018-12-01T22:10:00Z",661.45,0.63,
"2018-12-01T22:10:00Z","2018-12-01T22:15:00Z",661.41,0.63,
"2018-12-01T22:15:00Z","2018-12-01T22:20:00Z",661.46,0.63,
"2018-12-01T22:20:00Z","2018-12-01T22:25:00Z",661.58,0.63,
"2018-12-01T22:25:00Z","2018-12-01T22:30:00Z",661.58,0.63,
"2018-12-01T22:30:00Z","2018-12-01T22:35:00Z",661.51,0.63,
"2018-12-01T22:35:00Z","2018-12-01T22:40:00Z",661.40,0.63,
"2018-12-01T22:40:00Z","2018-12-01T22:45:00Z",661.40,0.63,
"2018-12-01T22:45:00Z","2018-12-01T22:50:00Z",661.51,0.63,
"2018-12-01T22:50:00Z","2018-12-01T22:55:00Z",661.46,0.63,
"2018-12-01T22:55:00Z","2018-12-01T23:00:00Z",661.53,0.63,
"2018-12-01T23:00:00Z","2018-12-01T23:05:00Z",661.56,0.63,
"2018-12-01T23:05:00Z","2018-12-01T23:10:00Z",661.52,0.63,
"2018-12-01T23:10:00Z","2018-12-01T23:15:00Z",661.53,0.63,
"2018-12-01T23:15:00Z","2018-12-01T23:20:00Z",661.59,0.63,
"2018-12-01T23:20:00Z","2018-12-01T23:25:00Z",661.49,0.63,
"2018-12-01T23:25:00Z","2018-12-01T23:30:00Z",661.53,0.63,
"2018-12-01T23:30:00Z","2018-12-01T23:35:00Z",661.58,0.63,
"2018-12-01T23:35:00Z","2018-12-01T23:40:00Z",661.53,0.63,
"2018-12-01T23:40:00Z","2018-12-01T23:45:00Z",661.62,0.63,
"2018-12-01T23:45:00Z","2018-12-01T23:50:00Z",661.57,0.63,
"2018-12-01T23:50:00Z","2018-12-01T23:55:00Z",661.53,0.63,
"2018-12-01T23:55:00Z","2018-12-02T00:00:00Z",661.51,0.63,
"2018-12-02T00:00:00Z","2018-12-02T00:05:00Z",661.56,0.63,
"2018-12-02T00:05:00Z","2018-12-02T00:10:00Z",661.54,0.63,
"2018-12-02T00:10:00Z","2018-12-02T00:15:00Z",661.54,0.63,
"2018-12-02T00:15:00Z","2018-12-02T00:20:00Z",661.59,0.63,
"2018-12-02T00:20:00Z","2018-12-02T00:25:00Z",661.48,0.63,
"2018-12-02T00:25:00Z","2018-12-02T00:30:00Z",661.53,0.63,
"2018-12-02T00:30:00Z","2018-12-02T00:35:00Z",661.55,0.63,
"2018-12-02T00:35:00Z","2018-12-02T00:40:00Z",661.52,0.63,
"2018-12-02T00:40:00Z","2018-12-02T00:45:00Z",661.59,0.63,
"2018-12-02T00:45:00Z","2018-12-02T00:50:00Z",661.60,0.63,
"2018-12-02T00:50:00Z","2018-12-02T00:55:00Z",661.73,0.63,
"2018-12-02T00:55:00Z","2018-12-02T01:00:00Z",661.67,0.63,
"2018-12-02T01:00:00Z","2018-12-02T01:05:00Z",661.57,0.63,
"2018-12-02T01:05:00Z","2018-12-02T01:10:00Z",661.55,0.63,
"2018-12-02T01:10:00Z","2018-12-02T01:15:00Z",661.53,0.63,
"2018-12-02T01:15:00Z","2018-12-02T01:20:00Z",661.66,0.63,
"2018-12-02T01:20:00Z","2018-12-02T01:25:00Z",661.63,0.63,
"2018-12-02T01:25:00Z","2018-12-02T01:30:00Z",661.63,0.63,
"2018-12-02T01:30:00Z","2018-12-02T01:35:00Z",661.67,0.63,
"2018-12-02T01:35:00Z","2018-12-02T01:40:00Z",661.77,0.63,
"2018-12-02T01:40:00Z","2018-12-02T01:45:00Z",661.82,0.63,
"2018-12-02T01:45:00Z","2018-12-02T01:50:00Z",661.65,0.63,
"2018-12-02T01:50:00Z","2018-12-02T01:55:00Z",661.50,0.63,
"2018-12-02T01:55:00Z","2018-12-02T02:00:00Z",661.58,0.63,
"2018-12-02T02:00:00Z","2018-12-02T02:05:00Z",661.78,0.63,
"2018-12-02T02:05:00Z","2018-12-02T02:10:00Z",661.73,0.63,
"2018-12-02T02:10:00Z","2018-12-02T02:15:00Z",661.70,0.63,
"2018-12-02T02:15:00Z","2018-12-02T02:20:00Z",661.63,0.63,
"2018-12-02T02:20:00Z","2018-12-02T02:25:00Z",661.71,0.63,
"2018-12-02T02:25:00Z","2018-12-02T02:30:00Z",661.79,0.63,
"2018-12-02T02:30:00Z","2018-12-02T02:35:00Z",661.74,0.63,
"2018-12-02T02:35:00Z","2018-12-02T02:40:00Z",661.74,0.63,
"2018-12-02T02:40:00Z","2018-12-02T02:45:00Z",661.62,0.63,
"2018-12-02T02:45:00Z","2018-12-02T02:50:00Z",661.66,0.63,
"2018-12-02T02:50:00Z","2018-12-02T02:55:00Z",661.66,0.63,
"2018-12-02T02:55:00Z","2018-12-02T03:00:00Z",661.68,0.63,
"2018-12-02T03:00:00Z","2018-12-02T03:05:00Z",661.84,0.63,
"2018-12-02T03:05:00Z","2018-12-02T03:10:00Z",661.82,0.63,
"2018-12-02T03:10:00Z","2018-12-02T03:15:00Z",661.78,0.63,
"2018-12-02T03:15:00Z","2018-12-02T03:20:00Z",661.90,0.63,
"2018-12-02T03:20:00Z","2018-12-02T03:25:00Z",661.69,0.63,
"2018-12-02T03:25:00Z","2018-12-02T03:30:00Z",661.71,0.63,
"2018-12-02T03:30:00Z","2018-12-02T03:35:00Z",661.67,0.63,
"2018-12-02T03:35:00Z","2018-12-02T03:40:00Z",661.74,0.63,
"2018-12-02T03:40:00Z","2018-12-02T03:45:00Z",661.79,0.63,
"2018-12-02T03:45:00Z","2018-12-02T03:50:00Z",661.74,0.63,
"2018-12-02T03:50:00Z","2018-12-02T03:55:00Z",661.76,0.63,
"2018-12-02T03:55:00Z","2018-12-02T04:00:00Z",661.81,0.63,
"2018-12-02T04:00:00Z","2018-12-02T04:05:00Z",661.74,0.63,
"2018-12-02T04:05:00Z","2018-12-02T04:10:00Z",661.85,0.63,
"2018-12-02T04:10:00Z","2018-12-02T04:15:00Z",661.77,0.63,
"2018-12-02T04:15:00Z","2018-12-02T04:20:00Z",661.84,0.63,
"2018-12-02T04:20:00Z","2018-12-02T04:25:00Z",661.82,0.63,
"2018-12-02T04:25:00Z","2018-12-02T04:30:00Z",661.77,0.63,
"2018-12-02T04:30:00Z","2018-12-02T04:35:00Z",661.77,0.63,
"2018-12-02T04:35:00Z","2018-12-02T04:40:00Z",661.90,0.63,
"2018-12-02T04:40:00Z","2018-12-02T04:45:00Z",661.70,0.63,
"2018-12-02T04:45:00Z","2018-12-02T04:50:00Z",661.85,0.63,
"2018-12-02T04:50:00Z","2018-12-02T04:55:00Z",661.82,0.63,
"2018-12-02T04:55:00Z","2018-12-02T05:00:00Z",661.92,0.63,
